activity_id,datetime,user_id,pc_id,device_type,location,activity_type,action_details,risk_level,correlated_id,target_user_id
d54c175b-c089-4a3f-8257-6384a5f0ee1c,2010-02-01 07:21:06,MOH0273,PC-6699,unknown,unknown,device,Details about the action,Low,d54c175b-c089-4a3f-8257-6384a5f0ee1c,MOH0273
9c3ba39c-8df6-413a-8ddb-f93729e59233,2010-02-01 07:37:41,MOH0273,PC-6699,unknown,unknown,device,Details about the action,Low,9c3ba39c-8df6-413a-8ddb-f93729e59233,MOH0273
0ce6a742-fc88-4ab1-85ff-2e13de2a5421,2010-02-01 07:59:11,HPH0075,PC-2417,unknown,unknown,device,Details about the action,Low,0ce6a742-fc88-4ab1-85ff-2e13de2a5421,HPH0075
e33ba661-7644-41d5-a2ef-666c51187fef,2010-02-01 07:59:49,IIW0249,PC-0843,unknown,unknown,device,Details about the action,Low,e33ba661-7644-41d5-a2ef-666c51187fef,IIW0249
99a8428c-49a9-4a6a-8673-1c00e19462b0,2010-02-01 08:04:26,IIW0249,PC-0843,unknown,unknown,device,Details about the action,Low,99a8428c-49a9-4a6a-8673-1c00e19462b0,IIW0249
35aa18fb-a47d-4a88-ac28-3b7d952f0b67,2010-02-01 08:17:35,HPH0075,PC-2417,unknown,unknown,device,Details about the action,Low,35aa18fb-a47d-4a88-ac28-3b7d952f0b67,HPH0075
682a9cca-358c-459a-a8fa-70642d3fac38,2010-02-01 08:24:54,HSB0196,PC-8001,unknown,unknown,device,Details about the action,Low,682a9cca-358c-459a-a8fa-70642d3fac38,HSB0196
2b61fb92-0cd1-4a35-94df-3b4896bb3c7c,2010-02-01 08:25:18,RRC0553,PC-6672,unknown,unknown,device,Details about the action,Low,2b61fb92-0cd1-4a35-94df-3b4896bb3c7c,RRC0553
c5b8d037-0849-42a0-83a0-1c678eb0b810,2010-02-01 08:25:19,MOH0273,PC-6699,unknown,unknown,device,Details about the action,Low,c5b8d037-0849-42a0-83a0-1c678eb0b810,MOH0273
794679b3-9c27-4a3c-bb3f-30a884835a4a,2010-02-01 08:29:40,MOH0273,PC-6699,unknown,unknown,device,Details about the action,Low,794679b3-9c27-4a3c-bb3f-30a884835a4a,MOH0273
5c664762-d608-4098-b8b7-a7ee0418756c,2010-02-01 08:37:19,HSB0196,PC-8001,unknown,unknown,device,Details about the action,Low,5c664762-d608-4098-b8b7-a7ee0418756c,HSB0196
